Website,Name,DR,Ahrefs Traffic,Type,Category,Niche/Industry,Local/Global,Link Type,Paid/Free,Instructions,Instant/Requires Confirmation,Owner,Status,Email,Password
https://medium.com,Medium,94,17796742,"Profile Link, Content",Content/Blogging Platform,General,Global,"Nofollow, UGC",Free,Create a profile. Add your website in the Short bio section.,Instant,,Not Started,,
https://hackernoon.com,HackerNoon,88,195077,Content,Content/Blogging Platform,Tech & Startups,Global,"Dofollow, UGC",Free,Publish a post. You can only add your social media in the profile section.,Instant,,Not Started,,
https://www.producthunt.com/,Product Hunt,91,422587,Profile Link,Niche Directory,Tech & Startups,Global,Dofollow,Free,Add a link to your profile.,,,Not Started,,
https://www.producthunt.com/,Product Hunt,91,422587,Listing,Niche Directory,Tech & Startups,Global,Nofollow,Free,Launch your website/software on PH.,,,Not Started,,
https://indiehackers.com,Indie Hackers,80,7947,Community,Community Platform,Entrepreneurship & Startups,Global,"Nofollow, Content",Free,Create a profile. Publish a post.,Instant,,Not Started,,
https://indiehackers.com,Indie Hackers,80,7947,Profile Link,Community Platform,Entrepreneurship & Startups,Global,Dofollow,Paid,If you pay $25/year you can include links in your bio and make your links dofollow. Very worth it,,,Not Started,,
https://bento.me,Bento,82,132725,Profile Link,Link in Bio,General,Global,Dofollow,Free,Create a profile. Add your social links and a link to your website.,Instant,,Not Started,,
https://about.me/,About Me,90,412406,Profile Link,Personal Directory,General,Global,Dofollow,Free,Create a profile. Add a link to your website.,Instant,,Not Started,,
https://linktr.ee/,Link Tree,93,6534199,Profile Link,Link in Bio,General,Global,Dofollow,Free,Create a profile. Add your social links and a link to your website.,Instant,,Not Started,,
https://www.starterstory.com,Starter Story,75,104294,Profile Link,Niche Directory,Startups,Global,,Paid,,,,Not Started,,
https://whatsthebigdata.com/,Whats The Big Data,74,139474,Listing,Niche Directory,AI Tools,Global,Dofollow,Paid,You can pay $499 to submit your AI tool. ,,,Not Started,,
https://crunchbase.com,Crunchbase,90,2742220,Profile Link,Business Directory,General,Global,Nofollow,Free,Create a profile. Add your social links and website link. Fill out other basic info for your company.,,,Not Started,,
